2026-03-04 03:35:08,448 | INFO | main_logger | JobService initialized
2026-03-04 03:35:14,144 | INFO | main_logger | BaselineRanker initialized
2026-03-04 03:35:14,145 | INFO | main_logger | FeedbackService initialized
2026-03-04 03:35:21,121 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 03:35:21,651 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 03:35:28,747 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 03:35:28,862 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 03:35:32,288 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 03:35:32,394 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 03:35:38,325 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 03:35:38,438 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 03:39:49,244 | INFO | main_logger | JobService initialized
2026-03-04 03:39:54,630 | INFO | main_logger | BaselineRanker initialized
2026-03-04 03:39:54,631 | INFO | main_logger | FeedbackService initialized
2026-03-04 03:40:08,244 | INFO | main_logger | JobService initialized
2026-03-04 03:40:13,591 | INFO | main_logger | BaselineRanker initialized
2026-03-04 03:40:13,592 | INFO | main_logger | FeedbackService initialized
2026-03-04 03:46:36,751 | INFO | main_logger | JobService initialized
2026-03-04 03:46:41,750 | INFO | main_logger | BaselineRanker initialized
2026-03-04 03:46:41,751 | INFO | main_logger | FeedbackService initialized
2026-03-04 04:04:33,163 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:04:33,165 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:04:33,167 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:04:33,171 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:04:33,171 | INFO | main_logger | Starting ranking for job: job123
2026-03-04 04:04:33,172 | INFO | main_logger | Ranking completed for job job123: 2 candidates ranked
2026-03-04 04:04:33,175 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:04:33,175 | INFO | main_logger | Starting ranking for job: job123
2026-03-04 04:04:33,175 | INFO | main_logger | Ranking completed for job job123: 2 candidates ranked
2026-03-04 04:04:38,749 | INFO | main_logger | JobService initialized
2026-03-04 04:04:44,281 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:04:44,283 | INFO | main_logger | FeedbackService initialized
2026-03-04 04:04:44,341 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:44,558 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:44,851 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:44,984 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:45,120 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:45,389 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:45,522 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:45,660 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:45,929 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:46,070 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:46,207 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:46,534 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:46,669 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:04:46,804 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:04,038 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:11:04,045 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:11:04,053 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:11:04,060 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:11:04,060 | INFO | main_logger | Starting ranking for job: job123
2026-03-04 04:11:04,061 | INFO | main_logger | Ranking completed for job job123: 2 candidates ranked
2026-03-04 04:11:04,066 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:11:04,066 | INFO | main_logger | Starting ranking for job: job123
2026-03-04 04:11:04,067 | INFO | main_logger | Ranking completed for job job123: 2 candidates ranked
2026-03-04 04:11:11,479 | INFO | main_logger | JobService initialized
2026-03-04 04:11:19,489 | INFO | main_logger | BaselineRanker initialized
2026-03-04 04:11:19,491 | INFO | main_logger | FeedbackService initialized
2026-03-04 04:11:19,574 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:19,812 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
2026-03-04 04:11:20,283 | ERROR | main_logger | Unexpected error: CORSMiddleware.__call__() takes 3 positional arguments but 4 were given
